formatted_name,formatted_universe,year,role,gender,eye,hair,color1,color2,description,image,banner,name,universe
Cloud Strife,Final Fantasy,1997,Protagonist,Male,Blue,Yellow,Yellow,Gray,"Cloud Strife is the protagonist of Final Fantasy VII, Final Fantasy VII Remake, and Final Fantasy VII: Advent Children. He also appears in the spin-off games of the Compilation of Final Fantasy VII as a supporting character, including Dirge of Cerberus -Final Fantasy VII- and Crisis Core -Final Fantasy VII-.

An arrogant and proud swordsman at first, Cloud introduces himself to Avalanche as a former member of an elite warrior unit called SOLDIER who has turned mercenary, and uninterested in anything beyond his hired task at hand. Beneath his hardened outer persona is a softer, more caring individual who simply struggles to open up, but is striving to be a hero. Cloud later discovers more about his past and, with the help of his friends, learns there is more to being a hero than possessing physical strength and fame. He develops compassion for the planet and the people he fights to protect from the Shinra Electric Power Company and his nemesis, Sephiroth.

Cloud Strife wields large broadswords in battle, including the iconic Buster Sword, and is a versatile melee combatant. In Final Fantasy VII, he has access to the most powerful weapons in the game, as well as the strongest Limit abilities (all of which involve his sword), though they take the longest to learn. In Final Fantasy VII Remake, Cloud's strength is in his raw damage output and his versatility, able to switch back-and-forth between the agile Operator Mode and the more offensive Punisher Mode that allows him to counterattack. In both titles, Cloud has the best all-around stats.

",final_fantasy_cloud.png,banner_final_fantasy.png,cloud,final fantasy
Sephiroth,Final Fantasy,1997,Antagonist,Male,Blue,White,Gray,Gray,"Sephiroth is the main antagonist of Final Fantasy VII and Final Fantasy VII Remake and one of the primary antagonists in its extended universe. In spin-off appearances, Sephiroth is depicted as Cloud Strife's archenemy and is seen as a symbol of Cloud's troubled past haunting him. Sephiroth is a former renowned SOLDIER who became twisted.

Before his fall from grace, Sephiroth was one of the most lauded success stories of the Shinra Electric Power Company's SOLDIER program. His successes in the field of battle during the conflicts surrounding Shinra's bid for global domination led to his status as a celebrity war hero and the poster boy for both the Shinra Military and the company's SOLDIER program. Learning of his true origins made him insane, causing him to be driven by a desire to destroy the world.

Sephiroth is briefly a party member during a flashback in the original Final Fantasy VII, and is both the penultimate and final boss.

",final_fantasy_sephiroth.png,banner_final_fantasy.png,sephiroth,final fantasy
Tifa Lockhart,Final Fantasy,1997,Secondary,Female,Red,Black,Dark Gray,Light Gray,"Tifa Lockhart is a playable character in Final Fantasy VII and Final Fantasy VII Remake. She is the main protagonist of the novel Final Fantasy VII Remake Trace of Two Pasts, and also plays a supportive role in Final Fantasy VII: Advent Children, Dirge of Cerberus -Final Fantasy VII-, and Crisis Core -Final Fantasy VII-. She is a friend of Cloud Strife, and a member of the resistance group Avalanche.

Tifa grew up with Cloud in Nibelheim, but lost contact with him years ago. When she meets him again, she convinces him to join Avalanche to fight the Shinra Electric Power Company, whom she bears hatred for due to the destruction of their hometown. She supports Cloud as his comrade and helps him and his allies fight Sephiroth. Tifa is reserved and empathic, acting as a motherly figure towards her allies when providing encouragement and emotional support. She also serves as the voice of reason grounding them to think things through and do the right thing.

In contrast to her shy personality, Tifa has a vigorous combat style, fighting with her fists. Trained by Zangan, she uses martial arts skills to fight opponents up close, and equips knuckles as her weapons. In the original Final Fantasy VII, unlike other characters, her Limit abilities, each a different martial arts technique, are not selected from a list, rather, each ability can be used consecutively if the slots land on the ""Yeah!"" reel for the ability. Tifa has a similar role in Final Fantasy VII Remake as an agile close combat fighter making use of powerful techniques in battle, with a unique ability based on her Unbridled Strength chi level.

",final_fantasy_tifa_lockhart.png,banner_final_fantasy.png,tifa lockhart,final fantasy
Aerith Gainsborough,Final Fantasy,1997,Secondary,Female,Green,Brown,Red,Light Gray,"Aerith Gainsborough, alternately known with the first name Aeris, is a playable character in Final Fantasy VII and Final Fantasy VII Remake. She is one of the lead protagonists of the novel Final Fantasy VII Remake Trace of Two Pasts, and a major character in the Compilation of Final Fantasy VII, appearing in Final Fantasy VII: Advent Children, Crisis Core -Final Fantasy VII- and Before Crisis -Final Fantasy VII-.

Aerith is the last of the Cetra, an ancient race with powerful magical abilities, and so the Shinra Electric Power Company hunts her throughout her life, seeking to exploit her powers. She meets Cloud Strife in Midgar, and the two become close, leading her to join his quest to fight Shinra and hunt down Sephiroth. Aerith is upbeat, carefree, and joyful, being flirtatious towards Cloud and compassionate towards others.

Aerith wields staves in battle, and is in the back row by default, as she primarily uses magic from equipped Materia in battle. Her Limit abilities are defensive, either providing restorative powers, healing other party members, or bestowing status enhancements.

",final_fantasy_aerith_gainsborough.png,banner_final_fantasy.png,aerith gainsborough,final fantasy
Barret Wallace,Final Fantasy,1997,Secondary,Male,Brown,Brown,Brown,Dark Gray,"Barret Wallace is a playable character in Final Fantasy VII and Final Fantasy VII Remake, and a major recurring character in the Compilation of Final Fantasy VII. He is the leader of a cell of the eco-terrorist group Avalanche, trying to prevent Shinra Electric Power Company from using mako, the life source of the planet, as a form of energy.

Barret fights passionately for his cause to protect the planet. He cares greatly for his allies, motivating them with powerful speeches, while also himself fighting on the front lines of his cell's operations. His seemingly benevolent cause of fighting for the planet is a cover for his personal vendetta and anger, which he later must come to terms with. Despite his brash and sometimes violent attitude, Barret has a good heart, and is torn between fighting and caring for his daughter, Marlene.

Barret wields a gun-arm, a mechanical gun grafted in place of his right arm, allowing him to fire from range. His Limit Break abilities largely consist of physical attacks with these weapons. Barret has high HP, allowing him to fill the role of taking damage from other party members.

",final_fantasy_barret_wallace.png,banner_final_fantasy.png,barret wallace,final fantasy
Cactuar,Final Fantasy,1997,Enemy,Other,None / Undefined,None / Undefined,Green,Dark Gray,"The Cactuar is a recurring creature in the Final Fantasy series designed by Tetsuya Nomura, that has appeared as an enemy and summon. Cactuars are little cacti, typically depicted having stiff arms and legs, three black holes for their faces (representing two eyes and an oblong mouth), and three reddish quills at the top of their heads. They have their own language, mostly consisting of variations of the word ""ge-ka"", which resemble squeaks and warbles. Cactuars in Final Fantasy X appear to speak Al Bhed.

In their original appearance in Final Fantasy VI they were known as Cactrots. In Final Fantasy VII they were renamed to Cactuer, while the ""fake Cactuer"" was named ""Cactuar"". In later games ""Cactuar"" became the standard name for the regular Cactuar.

Other variations include Qactuar, Kactuar, Cactuer and Cactoid. Other languages refer to them as ""Pampa"", ""Kyactus"" and ""Cactilio"".",final_fantasy_cactuar.png,banner_final_fantasy.png,cactuar,final fantasy
Kratos,God of War,2005,Protagonist,Male,Orange,None / Undefined,Gray,Red,"Kratos is the protagonist of the God of War series. The character is a power-hungry Spartan who, to save his life, was eventually forced to serve the Olympian god Ares. During one murderous rampage, Kratos accidentally killed his wife and child. Kratos renounced Ares, became a tormented soul (including imprisonment by the Furies), and served the gods for ten years in hopes of becoming free of the nightmares. He eventually killed Ares and became the God of War, but was betrayed by his father, Zeus. A series of attempts to free himself from the influence of the gods and Titans followed, culminating in a final confrontation with Zeus, ending in the god's death and the reign of the Olympian Gods. In the aftermath, Athena appeared and Kratos sacrificed himself to prevent her from becoming the supreme goddess of the world. Many years later, surviving his fatal sacrifice, Kratos now lives in the world of the Norse gods in Midgard where he now has a son named Atreus. Following the death of his second wife Faye, he and Atreus journey to the highest peak of the nine realms to fulfill her promise and spread her ashes there. Along their journey, Kratos eventually reveals that he is a god to Atreus, and after defeating Baldur and in turn becoming an enemy of the Norse gods, he finally reveals his troubled past to his son and that they should learn from past mistakes.

The character was originally voiced by Terrence C. Carson; his final portrayal of the character was in 2013's Ascension. Christopher Judge replaced TC Carson in 2018's God of War. Antony Del Rio voiced the character as a child in Ghost of Sparta (2010).

",god_of_war_kratos.png,banner_god_of_war.png,kratos,god of war
Athena,God of War,2005,Secondary,Female,Blue,Brown,Yellow,Light Gray,"Athena was the Goddess of Wisdom and Kratos' mentor and ally throughout the Greek era in the series. In Chains of Olympus, Athena initially tasked Kratos to find Helios as in the absence of light, the god Morpheus had caused many of the gods to fall into a deep slumber. In God of War (2005), she gave Kratos the mission of killing Ares, as Zeus had forbidden divine involvement, and was instrumental in allowing Kratos to become the new God of War. Although she begged Kratos to stop his second quest for the Ambrosia of Asclepius in the comic series (2010–11) and lied to him about his brother Deimos in Ghost of Sparta, Athena was still sympathetic towards Kratos even after he renounced the gods and was betrayed by Zeus in God of War II. Athena died trying to protect Zeus from Kratos, and was resurrected and elevated to a new level of understanding in God of War III. With ulterior motives, Athena became Kratos' ally once more and guided him to the Flame of Olympus surrounding Pandora's Box, which allowed Kratos to kill Zeus and end the reign of Mount Olympus, once Kratos defeated and killed nearly all the gods, Athena appeared to him and told him he has the power of hope, and demanded that he should give her the power so she could rule humanity as its sole goddess, though Kratos foils this attempt by stabbing himself to release it instead to the whole world, leaving Athena enraged and disappointed at him, leaving the latter to seemingly die. Her spirit later returns to Kratos in God of War (2018) to haunt and taunt him about his past that he had kept secret from his son Atreus. As he was retrieving his old weapons, the Blades of Chaos, she said he was nothing more than a monster, to which Kratos replied that he was not her monster anymore.

The character was voiced by Carole Ruggier in 2005's God of War, 2007's God of War II, and 2018's God of War. Erin Torpey voiced the character in Chains of Olympus (2008), God of War III (2010), and Ghost of Sparta (2010).

",god_of_war_athena.png,banner_god_of_war.png,athena,god of war
Gaia,God of War,2005,Neutral,Female,None / Undefined,None / Undefined,Brown,Green,"Gaia was the mother of the Titans and embodiment of Earth. At the request of Zeus' mother Rhea, Gaia raised and protected the young Zeus to prevent Cronos from devouring him, as he had devoured his other children. When Zeus grew to manhood, he betrayed Gaia, freed his siblings, and Gaia was banished with her fellow Titans at the conclusion of the Great War. In God of War II, she saved Kratos from the Underworld after a disastrous encounter with Zeus, and directed the Spartan to find the Sisters of Fate in order to take revenge on Zeus. A successful Kratos plucked Gaia and the Titans from the moment in time before their defeat in the Great War to launch an abortive attack on Olympus. In God of War III, Gaia was wounded in the assault on Olympus and abandoned Kratos, stating he was a pawn of the Titans so that they could have their revenge. Kratos eventually found and crippled Gaia, but she returned and interrupted the final battle between the Spartan and Zeus. The pair entered Gaia's neck wound, and with the Blade of Olympus, Kratos destroyed her heart, killing the Titan.

The character was voiced by Linda Hunt in God of War II, and Susan Blakeslee in God of War III. Gaia was also the narrator during cut scenes in God of War, again voiced by Hunt.

",god_of_war_gaia.png,banner_god_of_war.png,gaia,god of war
Zeus,God of War,2005,Antagonist,Male,Blue,White,Gray,Light Gray,"Zeus was the King of the Olympian Gods and the main antagonist of God of War II and God of War III. Zeus and Ares believed the destruction of Olympus would come at the hands of Kratos' brother Deimos, so they had Deimos imprisoned and tortured by Thanatos. Many years later, in God of War (2005), Zeus aided Kratos against Ares by bestowing him with the magic, ""Zeus' Fury"", and as the mysterious gravedigger. In God of War: Ghost of Sparta, Zeus realizes Kratos was the prophesied Marked Warrior, not Deimos. In God of War II, it is revealed that Zeus had become infected with fear. He tricked Kratos into draining his godly powers into the Blade of Olympus, stating it was required to deal with the new threat actually created by Zeus. Kratos, stripped of his power, was mortally wounded while human, and killed by Zeus. With the help of the Titan Gaia, Kratos used the power of the Sisters of Fate to return to the moment Zeus betrayed him and defeated Zeus after extensive combat. Zeus was saved by Athena, who sacrificed herself to preserve Olympus. Before dying, Athena revealed that Kratos is Zeus' son, and that Zeus feared a perpetuation of the son-killing-father cycle, as Zeus imprisoned his father Cronos. This was confirmed in God of War III when Kratos discovered that Zeus was infected with fear when Kratos first opened Pandora's Box and used its power to kill Ares. After a lengthy battle and an enlightening encounter with Pandora in his psyche, Kratos finally overcame and killed Zeus. Later in God of War (2018), Zeus appears as a haunting vision to Kratos while in Helheim.

The character was originally voiced by Paul Eiding in 2005's God of War. Corey Burton, who had previously voiced Zeus in the animated Disney show based on the film Hercules, took over the role in God of War II. He continued it in God of War III, in the multiplayer mode of Ascension, where Zeus appears as one of the four gods that players can pledge their allegiance to, and in 2018's God of War. Fred Tatasciore provided Zeus's voice in Ghost of Spartas after-game ""Combat Arena"" mode.

Zeus, as he appears in God of War III, is a downloadable playable character in PlayStation All-Stars Battle Royale (2012); he became available on March 19, 2013.

",god_of_war_zeus.png,banner_god_of_war.png,zeus,god of war
Atreus,God of War,2005,Protagonist,Male,Blue,Red,Gray,Yellow,"Atreus is a secondary protagonist introduced in the Norse era of the series. He is the young son that Kratos bore with the giant named Faye and has the ability to telepathically hear the thoughts of other beings. His mother taught him archery and how to read runes. His first adventure into the wilderness in A Call from the Wilds brought him to an encounter with some draugr, and he had to be saved by his father Kratos, after which, the two battled a revenant. Following Faye's death of an unknown cause in God of War (2018), Atreus journeys with his father Kratos to fulfill his promise to spread her ashes at the highest peak of the nine realms. Atreus did not know about Kratos' past or that he was a god. After Atreus falls ill due to a mental contradiction of a god thinking himself mortal, Kratos goes to Helheim to retrieve an item to heal him. After Atreus is cured, Kratos reveals that he is a god, but says nothing about his past. Knowing he is a god and thinking he can do anything, Atreus becomes arrogant and murders Modi, despite Kratos ordering not to. The two eventually make amends and team up to face Baldur. After Baldur's defeat, Kratos reveals his past and tells Atreus that they should learn from the mistakes of their predecessors. The two then go to Jötunheim to complete their journey. There, they learn that Faye was a giant, making Atreus part-giant, part-god, and part-mortal due to Kratos being a demigod formerly before becoming a god after killing Ares. It was also revealed that his mother had originally named him Loki, but Kratos chose Atreus, a name of an honorable Spartan comrade of his. The two then spread her ashes at Jötunheim's peak before going home. Atreus then has a vision that years later, at the end of Fimbulwinter, Thor will come for them. He is voiced by Sunny Suljic.

",god_of_war_atreus.png,banner_god_of_war.png,atreus,god of war
Master Chief,Halo,2001,Protagonist,Male,None / Undefined,None / Undefined,Green,Gray,"Master Chief Petty Officer John-117, commonly referred to as simply the Master Chief, is the main protagonist and main playable character in many of the Halo games. The character is voiced by Steve Downes, a Chicago disc jockey. He is one of the Spartans, an elite group of augmented soldiers raised from childhood to be super soldiers. Assisted by the artificial intelligence Cortana, he prevents the catastrophic firing of Installation 04 in Halo: Combat Evolved. Developing the character of Master Chief was part of Bungie's efforts to make players invested in playing the game. The character has since become a gaming icon, the mascot of the Xbox, and rated as one of the greatest characters in video games. In live action, the Chief has been portrayed by Daniel Cudmore in Halo 4: Forward Unto Dawn and Pablo Schreiber in the Paramount+ series.

",halo_master_chief.png,banner_halo.png,master chief,halo
